gen,nevals,avg,std,min,max
0,10,40.63823263735341,9.125017279629477,31.403701782998837,57.84628144633695
1,24,44.220342756061875,8.131544775117263,34.77961859183604,57.25784745164057
2,29,48.049686241051134,7.374041184150045,39.89467743310162,61.15926089674714
3,26,53.63184095028707,9.350718256000883,42.02795443344022,64.79833794587312
4,28,53.85043950044735,7.670919621097411,40.283886453373654,61.948367959043495
5,29,55.517080241566056,2.9610853788431046,47.88282314029031,59.666296017761425
6,22,57.23589675450796,7.274734722149585,37.726759325034635,65.72966331067961
7,28,62.31667485974019,4.580603119246747,53.884739095386095,69.67949451815589
8,28,62.54827905379341,5.7809219824494384,52.96563596084426,69.67949451815589
9,28,66.6107402284259,5.0743998878146686,58.733101972476376,73.87900943922637
10,23,65.73317601110733,11.914362269117671,45.089132871010186,81.30596295704495
11,27,67.66825520302604,10.838092109090228,50.17997005955443,83.8742861497377
12,28,73.25921370421428,4.826837279891833,62.10586121779188,82.09776481868411
13,26,75.20932400072647,3.475442049043419,70.64976015800009,82.79439505936884
14,27,73.42718021894736,6.1826509258080495,60.16963814420782,80.68999384035278
15,29,67.51148179536042,9.027707044838575,48.73430466876567,83.08083366728847
16,26,68.85349722429551,3.966767852481264,59.36874144648224,73.53898016114812
17,27,70.9179024773866,6.3817856903746755,60.88680358868003,80.42327169505478
18,28,72.34934760682229,6.5370289614150545,62.37277716214688,80.42327169505478
19,29,78.7986515897882,6.885645803401732,67.25541297369328,87.06560185536408
20,25,76.78681703690626,8.466355524996464,57.712036417752756,86.08374899537347
