time,x,y,z,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
1400,-0.9249809384346008,0.8249624371528625,0.03711293637752533,0.0,0.0,0.0,0.15111809147327876,0.1332559175288824,0.0,0.0,0.0
4200,-0.9805628657341003,0.8249508142471313,0.0371166430413723,0.0,0.0,0.0,0.08865332428707896,0.13099376580743904,0.0,0.0,0.0
7000,-1.0352762937545776,0.8249809145927429,0.0371173694729805,0.0,0.0,0.0,0.07724845615104217,0.13091087318408784,0.0,0.0,0.0
9800,-1.090354084968567,0.8250082731246948,0.037111442536115646,0.0,0.0,0.0,0.07730578428933453,0.0,0.0,0.0,0.0
12600,-1.144336462020874,0.8250109553337097,0.03711596876382828,0.0,0.0,0.0,0.07736450854285165,0.0,0.0,0.0,0.0
15400,-1.1979188919067383,0.8249829411506653,0.03711698576807976,False,False,False,False,False,False,False,False
18200,-1.2514088153839111,0.8249502182006836,0.03711377829313278,False,False,False,False,False,False,False,False
21000,-1.3041112422943115,0.8248623609542847,0.03711450845003128,0.08948618216427268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23800,-1.358577013015747,0.8248062133789062,0.03711418807506561,0.08952635133713675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26600,-1.4121415615081787,0.8247564435005188,0.037116680294275284,0.08963107451271975,0.0,0.0,0.1987500355100529,0.17874124637786412,0.0,0.0,0.0
29400,-1.4688475131988525,0.8247154951095581,0.03711368888616562,0.13864237141669714,0.0,0.0,0.13284133604324444,0.17542574435778913,0.0,0.0,0.0
32200,-1.525216817855835,0.8246959447860718,0.03711206093430519,0.0,0.0,0.0,0.10918082555507351,0.17514553024827376,0.0,0.0,0.0
35000,-1.5802223682403564,0.8247319459915161,0.03711815923452377,0.0,0.0,0.0,0.10921796858539835,0.0,0.0,0.0,0.0
37800,-1.634101152420044,0.8247396349906921,0.037117455154657364,0.0,0.0,0.0,0.10916933896680621,0.0,0.19266154922616194,0.0,0.0
40600,-1.6902347803115845,0.8247700929641724,0.037118349224328995,0.0,0.0,0.0,0.19397409880503658,0.15344639471379637,0.13652769814101998,0.1530550420181739,0.1932974086073377
43400,-1.748618483543396,0.8247920274734497,0.037114690989255905,0.0,0.0,0.0,0.12014510340609684,0.09121896053582541,0.07814401319324402,0.09090899035675568,0.11966248211428267
46200,-1.8056131601333618,0.8247847557067871,0.03711627051234245,0.0,0.0,0.0,0.048133707424630766,0.030496018320097726,0.021149067633301263,0.030215438382065325,0.04771777013433646
49000,-1.8250032663345337,0.8254720568656921,0.037112440913915634,0.11645536536887785,0.0,0.0,0.022348378178004336,0.009253998829495793,0.0017691897951872617,0.010184847352263328,0.02459977424313273
51800,-1.825033187866211,0.8247111439704895,0.03711390867829323,0.1189580491599003,0.0,0.0,0.022830288957613375,0.009456050263719502,0.001730312906838576,0.009892912779976374,0.023991269245038083
54600,-1.8250309228897095,0.8240118026733398,0.03711332008242607,0.120405981180848,0.0,0.0,0.02302484091117796,0.00954559203067519,0.001731134822734607,0.009803340222838988,0.02379163964965982
57400,-1.8250318765640259,0.8237406015396118,0.03711609169840813,0.11991850610227338,0.0,0.0,0.02274654631050372,0.009419116754578497,0.0017322885800483444,0.009935285232626575,0.024083512733050476
60200,-1.825038194656372,0.8231053352355957,0.03711695224046707,0.12107590189015642,0.0,0.0,0.022859606000105642,0.009466964220867565,0.001724479120897048,0.00986916055011727,0.02394556676013777
63000,-1.8250377178192139,0.8226001858711243,0.037117112427949905,0.12160868402976509,0.0,0.0,0.022827122106285267,0.009452436078073051,0.001725459995647971,0.009885677556568117,0.02398145926900511
